# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 01 41   105.75780595 103.37846100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 01 42   110.18127208 106.26264100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 04 10   107.15063894 382.53190700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 04 40   115.45257497 424.14250700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 04 41   115.20693307 429.13481900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 04 42   118.59771590 430.20288600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 16 10   630.82660093 2413.63884300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 01 10   100.38175407 99.68223000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 01 40   113.25577202 111.62297600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 01 41   112.67832297 111.29095600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 01 42   118.80191204 117.75135900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 04 10   125.62971099 414.91393000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 04 40   132.59285290 464.78904800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 04 41   133.96170096 464.68104000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 04 42   133.08636596 462.56890900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000256 16 16 10   625.90028201 2392.38551500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 01 10   100.13455802 99.09419300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 01 40   113.96193907 112.52303200
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 01 42   133.20705693 131.34020900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 04 10   114.34163311 402.92518100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 04 41   125.11287703 453.74035700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 04 42   127.04689406 445.74385700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000512 16 16 10   540.60092001 1787.28769900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 01 10   112.38352697 111.56697200
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 01 40   128.11013291 126.41590000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 01 41   129.23531895 126.95193400
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 01 42   134.06232909 132.12025700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 04 10   115.53678900 413.70185500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 04 40   123.87549011 456.78054700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 04 41   126.20752401 456.13650700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 04 42   128.99931792 459.71273000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   001024 16 16 10   625.25922899 1849.49158600
